score,reple
9,"영화가 끝나도 바뀌는 것은 없다. 아메드가 배교자라고 믿는 선생님을 죽이려고 가슴에 품은 흉기로 그 배교자 선생님에게 도움을 구하려고 철조물을 두두리는 장면에서 우리는 우기가 가지고 있는 무기를, 신념을, 종교를 어떻게 써야 하는지 분명한 답을 다르데 형제는 주고 있다. 바로 남을 변화시키려고 쓰는 것이 아니라 자신을 위해, 자신을 살리기 위해 써야 되는 것이다."
10,"사랑 앞에서도 동경하던 천국문이, 죽음 앞에서는 지푸라기를 잡는구나.."
10,죽음앞에선 엄마를 찾는구나
8,신념에 잠식되어 어디로 가는지 모르고 달리는 소년에게 다르덴 형제는 말 없이 지켜보다 조용하게 손을 건낸다. 언제나 희망을 놓지 않는 그들의 시선에 경의를 표한다.
10,"타란티노였다면 대책없는 막장 종교힙찔이로 묘사했을 싸이코 킬러의 탄생기를, 다르덴 형제는 이처럼 정연하게 표현했다."
7,광신도 소년의 내적 성장기
8,자신이 굳게 믿고 있는 신념일지라도 인간과 사회가 분리된다면 끝없이 회의해야함을 느낀다. 사람은 사람에 의해서 영향을 많이 받기에 올바른 스승과 사람들과의 연대가 중요함을 또한 그러한 사람이 되도록 끊임없이 사람과의 대화가 필요하다.
6,"정말, 영화의 끝이 변화의 시작일까"
10,"이 영화를 보고 영화관을 나오자, 머리 속에서 다시 시작되는 영화 ..모든 결정은 인간 몫임을.."
7,이 영화보면 이슬람교를 나쁜쪽으로 생각하는 사람들이 많아질거 같아요. 배신하는 사람들은 살해하라는 알라의 뜻인지 끝까지 어린애가 죄없는 여자선생을 죽이려하네요.
10,쉽사리 후기를 남기지 못하겠다. 만감이 교차한다.
10,"아메드가 마지막 장면에 머리에 피를 흘리며 꿈틀대는 연기는 나이에 비해 너무나 성숙되어 감동받았다. 아메드를 통해 폐쇄적인 문화 혹은 삶이 주는 깊은 절망감을 느꼈고, 결국 본래의 자리로 돌아가고자하는 인간 본연의 모습에서 많은 공감을 했다. 그것을 상징적으로 보여주는 것이 마지막 장면에서 선생님을 해치려고 준비한 쇠꼬챙이다. 자신의 엇나간 종교심이 선생님을 죽이는 것을 시도하게까지 했지만, 결국 그 무기로 살해하고자했던 그 선생님에게 본인을 구원해달라는 시그널을 보낼 수 밖에 없었던 아메드의 절박함이야말로 인간 본성을 여실히 드러낸, 혹은 특정 문화권의 속내를 드러낸 장면이지 않았을까."
8,왜 종교로 인해 인간이 구속받고 그 노예가 되어야 하는가. 소년 아메드를 보며 미성숙한 한 영혼에 깊게 뿌리내린 신앙이라는 멍에가 얼마나 슬프고도 어리석은 것인가...생각했다. 사람을 위한 종교 인간을 자유롭게 해야할 종교라면 얼마나 많은 사람들이 살수 있었을까...
8,너를 묵묵히 응원하는수밖에
1,무식한 자가 신념을 가지는 것이 가장 무섭다. 꼴에 사람이라고 선생 앞에서는 거침없이 칼을 휘두르던 자가 자기 죽을 것 같으니까 도움을 청하는 꼴이란.
10,역시 다르덴 형제 작품은 믿고 본다 ㅠㅠ
10,늘 강렬한 메시지를 던지는 다르덴 형제. 이번에도 역시!
6,재미있게 잘 봤습니다.
9,다르덴은 다르덴이다..발버둥의 연속
10,현대사회의 문제를 다루는 다르덴 형제의 진중하며 따뜻한 시선을 다시금 느낄수 있는 영화. 쉽게 사람을 변화시킬 수 없음을 인정하면서도 여전히 그것이 가능할거란 희망을 담아 설득력있게 연출해낸다.
10,억지 감동을 만들지 않는다. 프레임 밖 관객을 제3자로 두지 않는다.
8,아메드~! 괜찮을거야~!
8,
6,마지막 뻗은 그 손을 어찌해야 하는가
7,날카로움으로 구원을 바랄 때
8,"사람의 변화에는 드라마틱한 사건이 필요한게 아니다. 아쉬운 사랑, 엄마의 눈물 같은것들이 쌓여 내가 한발 디딘 곳에 아무것도 없을때 그것들이 밀려올라와 나를 바꾼다"
9,여린 소년 마음 속 종교의 빈자리를 사랑이 채울 수 있다면
8,어린 학생에게 맹목적인 것은 위험하다... 특히 종교는 더더욱ㅜ잔잔하면서 인디 특유의 감성이 좋았음!!
6,으이그 이 자식아...마망! 할 때 진짜 탄식했다
8,성장기과과도기를 겪는
5,다르덴의 범작.
8,지옥 문턱에 서있는 소년을 위해 필요한건 사랑뿐
8,"품어줄 존재가 없는 아이, 사랑이 없는 소년이 기댄 것은 선도하고 지켜줄 자가 없는 믿음. 사랑이 다가왔을 때 그의 허무에는 잠깐의 웃음이 스쳤지만 소년의 허무를 어떻게 채워 가야 할까."
8,중2병 아들 둔 엄마로서 마지막에 울컥했다. 다르덴 형제는 이 참담한 현실에도 불구하고 인간성에 대한 믿음을 일관되게 견지하고 있다는 게 놀랍다. 교육자의 신념인가.
9,신념 때문에 맹목적으로 변해버린 인물을 끈질기게 추적하는 영화. 역시 분석은 하지 않고
10,영화관에 혼자서 봤다. 볼만했다. 마지막에 ㄹㅇ 반전 있음. 참고로 마지막에 난 웃겼음.
10,"마지막 사과가 거짓이라 생각했지만, 다시 생각해보면 창문까지 무리하게 올라간 소년의 고뇌가 보인다."
7,윤리와 신념 사이 소년의 마음을 밀착해서 들여다보는 다르덴 형제.
6,끝이 허전하게 끝나서 아쉬움
9,독실한 교인이 아닌 그저 무슬림이란 이름의 질풍노도. 그이상 그이하도 아닌 그저 자신의명분을 위한 도구...
6,쉽지 않은 아메드...
10,무슨 생각을 하면 영화를 이렇게 만들지
10,역시 믿고 보는 다르덴 형제
7,코믹영화가 따로 없음 ㅋㅋ 종교에 미친 소년이 선생 죽이려다 실패하는 과정을 그린 영화 신선하다
2,이영화 돈주고 보기 존@ 아까워요
